+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+---------------------+-------------------------------------------------------------------------------------------------------------------------------------------------+
| resource_name                                                                                                                                   | id                                   | resource_status_reason                                                                                                                                                                                                                | resource_status    | event_time          | stack_name                                                                                                                                      |
| ManagementNetwork                                                                                                                               | be795e04-ce11-47c8-8a3d-d35819f4efc5 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| ExternalNetwork                                                                                                                                 | 6af53572-97a2-4abc-9c3f-0dc2df644816 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| StorageNetwork                                                                                                                                  | 6d19b18a-3d6c-420b-913a-0a2b635b7669 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| overcloud-Networks-heddl37aifhv-ManagementNetwork-sobjlyasodny                                                                                  | d1b4ee1f-998a-4e5e-82a7-7d9bf19caefe | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-ManagementNetwork-sobjlyasodny                                                                                  |
| overcloud-Networks-heddl37aifhv-ManagementNetwork-sobjlyasodny                                                                                  | 20787918-7815-46fe-b9cf-e07798177a6a | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-ManagementNetwork-sobjlyasodny                                                                                  |
| overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      | 638498dd-3279-4e92-bb5d-edd4ee883b2e | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| TenantNetwork                                                                                                                                   | 03651f2b-7a19-481e-ab42-8fa815166fa7 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| TenantNetwork                                                                                                                                   | c6747e6f-f744-47fc-9d24-0097e6e5c0bf | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| TenantSubnet                                                                                                                                    | 503f640d-23ad-491d-be7e-e91f26b0a182 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:08 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| StorageMgmtNetwork                                                                                                                              | 7aaa2804-31e7-4a76-9c66-1d09de9790c5 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| InternalNetwork                                                                                                                                 | 77e594ae-5032-4727-b0d5-c9f520f325ca | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| ManagementNetwork                                                                                                                               | c53af0df-a188-46b7-8045-edfdfe7c7911 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    | 89d60003-0119-4174-9d49-c53fe5b13aab | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| InternalApiNetwork                                                                                                                              | 05a6c1c6-5b50-489d-a9f9-b010d3f32f29 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 | bf78c9cf-caf8-43ad-b56b-eb4b4b57e7b3 | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| StorageMgmtNetwork                                                                                                                              | 77bfd33d-c18a-4b92-beda-f52b7d240ad4 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     | cba2942e-decc-48f2-b11c-95d0c769c673 | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| StorageNetwork                                                                                                                                  | 5c7929ae-87b8-4ac8-ab5e-d7bb7f528a14 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| StorageNetwork                                                                                                                                  | 23c4c5b0-a929-4f44-af97-cbc381da4386 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| StorageSubnet                                                                                                                                   | d85fa80a-ba73-4d2c-8312-c46dc783e4f8 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    | 0e5f3756-9e4c-444a-a06c-2bcd4d54e051 | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| ExternalNetwork                                                                                                                                 | 07896093-61de-4c8e-aab3-678fc5ce7e44 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| ExternalNetwork                                                                                                                                 | 2e3549ab-6854-44f8-b7b6-23a5723e6cb9 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| ExternalSubnet                                                                                                                                  | bdc6ed39-e54f-43f9-a7a0-5e236d3fa19e | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:09 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| TenantNetwork                                                                                                                                   | 39a06c60-485c-442e-a307-c42889e1f6f0 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| InternalApiNetwork                                                                                                                              | 4c3df666-c483-4f5e-bdc9-1a8b6b487cd4 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| InternalApiSubnet                                                                                                                               | 8fdc9874-8ef9-49ff-9f2c-4d5832065fb8 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| StorageMgmtNetwork                                                                                                                              | 456c612b-42fe-4e63-a5c4-e2483ca92a12 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| StorageMgmtSubnet                                                                                                                               | 205d6026-4244-4658-ae83-b12caf441585 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| TenantSubnet                                                                                                                                    | 1f69f67e-0135-4209-a01c-8a1da49be07e | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      | fefc3739-d781-4a1f-b0ac-1a51595b2a35 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:10 | overcloud-Networks-heddl37aifhv-TenantNetwork-6idcv36rh4sg                                                                                      |
| ExternalNetwork                                                                                                                                 | 74ed6fec-f723-4d7d-a706-db0ddade1c31 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| InternalApiSubnet                                                                                                                               | 4496f241-f17b-4964-a530-1e0bb8b22895 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    | 5fa6deca-105e-4ba6-afb2-4c638597f6c8 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-InternalNetwork-jqwfxnjeaklk                                                                                    |
| StorageSubnet                                                                                                                                   | 1e62ede9-c0cb-4b37-a312-412d29d50706 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     | a65e72c9-a85b-4bc8-a53e-84abeafce572 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-StorageNetwork-6kofq7k26p5j                                                                                     |
| ExternalSubnet                                                                                                                                  | 4d8b7557-62ad-4930-a95d-820eab05a22a | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    | e64868d9-5ee5-4c8a-a6ee-5a457b3d5339 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:11 | overcloud-Networks-heddl37aifhv-ExternalNetwork-e75nsggfzbxp                                                                                    |
| StorageNetwork                                                                                                                                  | ebf94c41-5659-451e-aad6-3c1afa315c2c | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| StorageMgmtNetwork                                                                                                                              | 6ee8700f-def9-4087-9db0-e465af8595b7 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| InternalNetwork                                                                                                                                 | 51255e96-cd37-4f3f-a8ec-827661d0693e | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| overcloud-Networks-heddl37aifhv                                                                                                                 | 34b4e413-fb40-41ff-8887-5e89da9e92c1 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv                                                                                                                 |
| StorageMgmtSubnet                                                                                                                               | 108bd7b8-1275-431b-b74a-d55dfccf0401 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 | f70b4025-5256-4355-ae64-987d4df4c886 | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:12 | overcloud-Networks-heddl37aifhv-StorageMgmtNetwork-pg4bqybx64qn                                                                                 |
| Networks                                                                                                                                        | 5972e0ca-3abd-4fb9-90df-4f6778ea3f60 | state changed                                                                                                                                                                                                                         | CREATE_COMPLETE    | 2016-12-02T09:00:13 | overcloud                                                                                                                                       |
| ObjectStorage                                                                                                                                   | 5f01cf3e-565f-4779-bef8-ff1e9935b18a | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:13 | overcloud                                                                                                                                       |
| ControlVirtualIP                                                                                                                                | 4adedcb3-07f5-4d8c-af88-52027dd452cf | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:13 | overcloud                                                                                                                                       |
| overcloud-ObjectStorage-hy3koeo7rsfk                                                                                                            | d319d17f-0444-4e7e-8900-217ff7afaedd | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:13 | overcloud-ObjectStorage-hy3koeo7rsfk                                                                                                            |
| overcloud-ObjectStorage-hy3koeo7rsfk                                                                                                            | f55cddbd-333d-4ad5-860b-28b659e252ce | Stack CREATE completed successfully                                                                                                                                                                                                   | CREATE_COMPLETE    | 2016-12-02T09:00:13 | overcloud-ObjectStorage-hy3koeo7rsfk                                                                                                            |
| CephStorage                                                                                                                                     | 5161615a-2158-4b1c-834f-84a3d4aece45 | state changed                                                                                                                                                                                                                         | CREATE_IN_PROGRESS | 2016-12-02T09:00:14 | overcloud                                                                                                                                       |
| overcloud-CephStorage-gg4vgmylj4tb                                                                                                              | 0dce438c-42d4-4e22-8ff4-7aec3eeca2b4 | Stack CREATE started                                                                                                                                                                                                                  | CREATE_IN_PROGRESS | 2016-12-02T09:00:14 | overcloud-CephStorage-gg4vgmylj4tb                                                                                                              |
